Nome,Lotação,Cargo,RemuneraçãoParadigma(1),VantagensPessoais(2),"Subs., Dif. Subs., Função Conf. ou Cargo Comis.",Indenizações(3),VantagensEventuais(4),Gratificações(5),Total deCréditos(6),PrevidênciaPública(7),Impostode Renda(8),DescontosDiversos(9),Retençãopor TetoConst.(10),Total deDébitos(11),RendimentoLíquido(12),Remuneraçãodo Órgão deorigem(13),Diárias(14)
FRANCISCO OCCHIUTO JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","26.363,69",,"68.270,46","3.638,42","7.755,64",,,"11.394,06","56.876,40",,
VILSON RODRIGUES ALVES,FORUM DA COMARCA DE VINHEDO,Juiz de Direito de Entrância Intermediária,"24.357,01","242,11",,,"11.484,63",,"36.083,75","3.969,21","4.994,86","5.914,43",,"14.878,50","21.205,25",,
RICARDO CINTRA TORRES DE CARVALHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.605,03","40.391,80",,"84.729,36","5.655,91","8.450,39","74,00",,"14.180,30","70.549,06",,"3.198,16"
PAULO DIMAS DE BELLIS MASCARETTI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.286,59",,"5.191,73","21.069,60","686,38","65.705,41","5.681,08","5.046,42","12.056,44",,"22.783,94","42.921,47",,"6.396,32"
SERGIO COIMBRA SCHMIDT,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","7.069,73",,,"12.725,64","49.539,42",,"827,29"
JOSE MANOEL RIBEIRO DEPAULA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","8.241,84","6.296,36",,"20.194,11","42.070,95",,
CLAUDIO ANTONIO SOARES LEVADA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","22.750,92",,"64.657,69","3.638,42","6.163,09","6.726,20",,"16.527,71","48.129,98",,
LUIZ AUGUSTO DE SIQUEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.897,56","3.126,97",,"13.585,57","45.454,09",,
WANDERLEY JOSE FEDERIGHI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.226,14",,,"10.864,56","49.383,01",,
GIL ERNESTO GOMES COELHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.366,93","18.340,80",,"60.422,77","3.638,42","7.069,73","211,38",,"10.919,53","49.503,24",,
EDUARDO ALMEIDA PRADO ROCHA DE SIQUEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","4.984,33",,"5.463,73","38.946,22",,"79.865,39","3.513,60","6.948,40",,,"10.462,00","69.403,39",,
JOSE MARIA SIMOES DE VERGUEIRO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.433,62",,"5.191,73","17.913,71",,"61.010,17","5.531,55","6.949,70","8.898,22",,"21.379,47","39.630,70",,
ANTONIO JOSE MAGDALENA,2ª VARA DA COMARCA DE SANTA CRUZ DO RIO PARDO,Juiz de Direito de Entrância Intermediária,"27.500,17","5.642,00",,"5.191,73","13.181,06",,"51.514,96","4.590,59","6.014,36","37,00",,"10.641,95","40.873,01",,
OSVALDO JOSE DE OLIVEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"7.301,73","18.340,80",,"62.357,57","3.638,42","7.226,14","4.759,18",,"15.623,74","46.733,83",,
PAULO MAGALHAES DA COSTA COELHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.433,62",,"5.191,73","17.913,71",,"61.010,17","5.531,55","7.053,97","296,00",,"12.881,52","48.128,65",,
SERGIO GOMES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.068,05",,"5.191,73","18.340,80","16.538,31","78.610,00","5.462,54","7.072,71",,,"12.535,25","66.074,75",,
OSVALDO MAGALHAES JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","27.896,06",,"69.802,83","3.638,42","6.217,25","15.683,72",,"25.539,39","44.263,44",,
DARIO GAYOSO JUNIOR,8ª VARA CÍVEL DA COMARCA DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55","3.857,17",,"7.061,73","13.515,16",,"53.381,61","3.250,91","6.207,52","190,24",,"9.648,67","43.732,94",,
SIDNEY ROMANO DOS REIS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.901,82",,"5.191,73","18.340,80",,"61.905,46","5.296,31","8.127,91","9.084,16",,"22.508,38","39.397,08",,
HERALDO DE OLIVEIRA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","20.840,80",,"62.747,57","3.638,42","7.069,73","5.157,14",,"15.865,29","46.882,28",,
ANTONIO ROBERTO SYLLA,1ª VARA CRIMINAL DA COMARCA DE PRESIDENTE PRUDENTE,Juiz de Direito de Entrância Final,"28.947,55","5.776,32",,"5.191,73","14.217,81",,"54.133,41","3.441,10","4.432,73","7.802,97",,"15.676,80","38.456,61",,
RONALDO SERGIO MOREIRA DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.280,73","18.340,80",,"60.336,57","3.638,42","7.069,73",,,"10.708,15","49.628,42",,
TERESA CRISTINA MOTTA RAMOS MARQUES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,95",,"5.579,73","18.340,80",,"60.635,59","3.638,44","7.121,87","8.226,79",,"18.987,10","41.648,49",,
WALDIR SEBASTIAO DE NUEVO CAMPOS JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.911,73","20.413,71",,"62.259,66","3.561,04","4.624,47","8.456,02",,"16.641,53","45.618,13",,
NEWTON DE OLIVEIRA NEVES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.069,73","211,38",,"10.919,53","49.328,04",,
PAULO BARCELLOS GATTI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","4.984,33",,"5.191,73","14.563,85",,"55.211,02","3.513,60","4.475,80","8.831,32",,"16.820,72","38.390,30",,
NELSON JORGE JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.741,13",,"5.389,03","13.932,13","15.970,92","72.504,32","5.270,40","6.896,26","190,24",,"12.356,90","60.147,42",,
JOSE RUY BORGES PEREIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"6.383,73","18.708,31",,"61.807,08","3.638,42","6.608,72","2.117,39",,"12.364,53","49.442,55",,
ADILSON DE ARAUJO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","23.853,45",,"65.760,22","3.638,42","7.768,48","376,75",,"11.783,65","53.976,57",,
WELLINGTON MAIA DA ROCHA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","10.080,63",,"5.501,83","20.840,80","16.538,31","83.432,68","7.475,12","7.174,00",,,"14.649,12","68.783,56",,
ARMANDO CAMARGO PEREIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","4.984,33",,"5.191,73","17.651,82",,"58.298,99","3.513,60","2.045,99","22.953,17",,"28.512,76","29.786,23",,
ALCIDES LEOPOLDO E SILVA JUNIOR,TRIBUNAL DE JUSTIÇA,Juiz de Direito Substituto em 2º Grau,"28.947,55","5.330,22",,"5.191,73","14.914,90",,"54.384,40","4.723,96","6.626,50","29,00",,"11.379,46","43.004,94",,
EDISON VICENTINI BARROSO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"6.041,73","17.913,71",,"59.889,66","3.561,04","6.741,15","190,24",,"10.492,43","49.397,23",,
FERNANDO ANTONIO TORRES GARCIA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","4.984,33",,"5.191,73","17.651,82",,"58.298,99","3.513,60","6.844,13","214,00",,"10.571,73","47.727,26",,
DIMAS BORELLI THOMAZ JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","20.840,80",,"64.765,06","5.655,91","8.293,98","48,87",,"13.998,76","50.766,30",,
JOSE ROBERTO NOGUEIRA NASCIMENTO,VARA DA INFÂNCIA E JUVENTUDE DA COMARCA DE MARÍLIA,Juiz de Direito de Entrância Final,"28.947,55","5.274,35",,"5.272,39","12.883,44",,"52.377,73","4.668,09","6.207,52","222,00",,"11.097,61","41.280,12",,"790,29"
JOSE PERCIVAL ALBANO NOGUEIRA JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","28.704,77",,"69.830,72","3.561,04","8.943,60","29,00",,"12.533,64","57.297,08",,
ANTONIO CARLOS MORAIS PUCCI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.553,41",,"6.971,73","13.896,72",,"56.892,97","4.947,15","6.894,78","2.014,82",,"13.856,75","43.036,22",,
FRANCISCO OLAVO GUIMARAES PERET FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.226,14","669,35",,"11.533,91","48.713,66",,
FERMINO MAGNANI FILHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","4.024,77",,"5.191,73","17.127,04",,"56.814,65","3.418,51","6.528,27","5.325,08",,"15.271,86","41.542,79",,
ISRAEL GOES DOS ANJOS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.013,81",,"5.191,73","17.651,82",,"58.328,47","3.543,08","6.862,01","219,24",,"10.624,33","47.704,14",,
JUNIO CLAUDIO CAMPOS FURTADO,VARA DO JUIZADO ESPEC CRIM DA C DE RIBEIRÃO PRETO,Juiz de Direito de Entrância Final,"28.947,55","5.776,32",,"5.191,73","14.091,46",,"54.007,06","3.441,10","6.630,68","190,24",,"10.262,02","43.745,04",,
VENICIO ANTONIO DE PAULA SALLES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.069,73",,,"10.708,15","49.539,42",,
NATAN ZELINSCHI DE ARRUDA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","21.881,00",,"63.787,77","3.638,42","7.174,00","111,00",,"10.923,42","52.864,35",,
JOAO SARTORI PIRES,1ª VARA CÍVEL DA COMARCA DE FRANCA,Juiz de Direito de Entrância Final,"28.947,55","6.432,40",,"814,00","14.687,77",,"50.881,72","4.961,67","7.050,95","190,24",,"12.202,86","38.678,86",,
LUIZ TOLOZA NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.926,03",,"5.191,73","17.651,82",,"60.240,69","5.455,30","7.970,24",,,"13.425,54","46.815,15",,
EGIDIO JORGE GIACOIA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,41",,"5.191,73","18.340,80",,"62.265,05","5.655,90","8.293,98","721,38",,"14.671,26","47.593,79",,
WALTER DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","19.381,00",,"61.287,77","3.638,42","5.859,73","9.183,86",,"18.682,01","42.605,76",,
MARCUS ANTONIO SILVA BARBOSA,FORUM DA COMARCA DE GUARULHOS,Juiz de Direito de Entrância Intermediária,"14.666,72",,,,"6.278,68",,"20.945,40","1.613,33","2.511,77","3.689,57",,"7.814,67","13.130,73",,
ANTONIO ALVARO CASTELLO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.605,43",,"5.191,73","15.104,74",,"58.373,01","5.270,21","7.778,12","236,66",,"13.284,99","45.088,02",,
TEODOZIO DE SOUZA LOPES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","9.555,26",,"51.462,03","3.638,42","8.775,93","4.178,63",,"16.592,98","34.869,05",,
JOSE ROBERTO NEVES AMORIM,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","29.366,34",,"71.273,11","3.638,42","9.180,25","9.084,16",,"21.902,83","49.370,28",,"790,29"
ANTONIO BENEDITO DO NASCIMENTO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.174,00","190,24",,"11.002,66","49.244,91",,
MARCO ANTONIO MARQUES DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73",,,"41.125,95","3.561,04","6.949,70","442,80",,"10.953,54","30.172,41",,
MARCELLO HOLLAND NETO,TRIBUNAL DE JUSTIÇA,Juiz de Direito de Entrância Intermediária,"10.083,37",,,,"4.371,84",,"14.455,21","1.109,17","1.598,54","2.622,27",,"5.329,98","9.125,23",,
PAULO ROBERTO DA SILVA,VARA DA FAZENDA PÚBLICA DA COMARCA DE TAUBATÉ,Juiz de Direito de Entrância Final,"28.947,55","6.349,01",,"5.191,73","13.929,71",,"54.418,00","4.878,28","6.592,48","190,24",,"11.661,00","42.757,00",,
MANOEL RICARDO REBELLO PINHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.395,92",,"60.302,69","3.638,42","7.017,59","2.122,93",,"12.778,94","47.523,75",,
LUIZ FERNANDO SALLES ROSSI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.063,14",,"5.191,73","20.840,80","16.538,31","81.105,09","5.457,63","7.069,73","7.863,96",,"20.391,32","60.713,77",,
JOSE JOAQUIM DOS SANTOS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.244,01",,"5.191,73","18.340,80",,"60.247,65","3.638,50","5.058,39","7.350,94",,"16.047,83","44.199,82",,
PAULO ANTONIO ROSSI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.943,91",,"5.191,73","18.176,71",,"59.783,46","3.608,69","7.107,85","1.678,88",,"12.395,42","47.388,04",,
MIGUEL PETRONI NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.949,70","523,24",,"11.033,98","48.005,68",,
FERNANDO LUIZ SASTRE REDONDO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.614,15",,"5.535,73","14.816,54",,"57.437,53","5.143,42","7.379,74",,,"12.523,16","44.914,37",,
CARLOS EDUARDO REIS DE OLIVEIRA,5ª VARA CÍVEL DA COMARCA DE TAUBATÉ,Juiz de Direito de Entrância Final,"28.947,55","5.316,05",,"5.191,73","13.262,48",,"52.717,81","4.709,79","4.563,48","5.978,34",,"15.251,61","37.466,20",,
CARLOS NUNES NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.243,63",,"5.191,73","17.913,71","16.186,59","77.006,77","5.341,56","6.949,70","407,00",,"12.698,26","64.308,51",,
LUIZ BURZA NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","7.069,73",,,"12.725,64","49.539,42",,
GILBERTO GOMES DE MACEDO LEME,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.926,03",,"5.191,73","17.651,82",,"60.240,69","5.455,30","7.970,24",,,"13.425,54","46.815,15",,
PLINIO NOVAES DE ANDRADE JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","606,26",,"814,00","17.127,04",,"49.018,41","3.418,51","6.736,82",,,"10.155,33","38.863,08",,
VALDECIR JOSE DO NASCIMENTO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.949,70","185,00",,"10.695,74","48.343,92",,
THEMISTOCLES BARBOSA FERREIRA NETO,TRIBUNAL DE JUSTIÇA,Juiz de Direito Substituto em 2º Grau,"28.947,55","5.371,91",,"5.411,33","15.293,94",,"55.024,73","4.765,65","6.725,43","3.931,82",,"15.422,90","39.601,83",,
PEDRO LUIZ BACCARAT DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.469,31",,"5.191,73","17.913,71",,"59.045,86","3.567,24","7.053,97",,,"10.621,21","48.424,65",,
FLAVIO CUNHA DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.191,66",,"5.372,53","19.187,82",,"63.223,12","5.732,94","8.262,45","5.835,41",,"19.830,80","43.392,32",,
RICARDO MAIR ANAFE,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.243,63",,"5.191,73","17.913,71","16.186,59","77.006,77","5.341,56","6.897,56",,,"12.239,12","64.767,65",,
EDISON APARECIDO BRANDAO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","606,26",,"5.191,73","17.127,04",,"53.396,14","3.418,51","4.587,23","7.817,36",,"15.823,10","37.573,04",,
MARCO ANTONIO DE LORENZI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.943,91",,"5.191,73","18.176,71",,"59.783,46","3.608,69","7.003,57","259,00",,"10.871,26","48.912,20",,
MARIA BEATRIZ DANTAS BRAGA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","20.413,71",,"61.539,66","3.561,04","6.949,70","4.968,88",,"15.479,62","46.060,04",,
ROBERTO MARTINS DE SOUZA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.385,23","21.707,63",,"63.807,90","3.638,42","7.017,59","46,42",,"10.702,43","53.105,47",,
SILVIA ROCHA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","7.001,84",,,"10.562,88","48.476,78",,
JOSE JACOB VALENTE,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","9.214,14",,"5.191,73","20.413,71","16.186,59","81.477,28","7.312,07","8.249,71","1.930,66",,"17.492,44","63.984,84",,
NILSON WILFRED IVANHOE PINHEIRO,38ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55","3.857,21",,"814,00","13.262,48",,"46.881,24","3.250,95","6.259,66","227,24",,"9.737,85","37.143,39",,
ANTONIO FERNANDO SCHEIBEL PADULA,FORUM DA COMARCA DE RIO CLARO,Juiz de Direito de Entrância Final,"28.947,55","7.381,97",,"5.191,73","14.596,84",,"56.118,09","5.046,75","6.578,55",,,"11.625,30","44.492,79",,
ANTONIO SERGIO COELHO DE OLIVEIRA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.069,73","4.648,16",,"15.356,31","44.891,26",,
FRANCISCO ANTONIO BIANCO NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.741,13",,"5.191,73","17.651,82","15.970,92","76.026,71","5.270,40","5.469,13","9.235,70",,"19.975,23","56.051,48",,
CARLOS EDUARDO PACHI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"6.055,65","20.413,71",,"62.403,58","3.561,04","5.474,08","10.202,42",,"19.237,54","43.166,04",,
ANTONIO MARIO DE CASTRO FIGLIOLIA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","4.024,77",,"5.191,73","17.127,04",,"56.814,65","3.418,51","6.580,41","190,24",,"10.189,16","46.625,49",,
REINALDO MILUZZI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","21.218,55",,"63.125,32","3.638,42","6.965,45",,,"10.603,87","52.521,45",,
ALFREDO LUIZ GONCALVES,1ª VARA F R DE VILA MIMOSA DA COMARCA DE CAMPINAS,Juiz de Direito de Entrância Final,"28.947,55","5.329,94",,"5.191,73","13.388,82",,"52.858,04","4.723,68","6.207,52",,,"10.931,20","41.926,84",,
MARCO ANTÔNIO PINHEIRO MACHADO COGAN,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","1.902,07",,"5.191,73","17.913,71",,"55.478,62","3.561,04","6.949,70","5.315,40",,"15.826,14","39.652,48",,
FRANCISCO GIAQUINTO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.433,62",,"5.191,73","17.913,71",,"61.010,17","5.531,55","8.249,71","190,24",,"13.971,50","47.038,67",,
EDUARDO CORTEZ DE FREITAS GOUVEA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","6.371,98","4.591,76",,"14.602,16","45.645,41",,
EDUARDO VELHO NETO,1ª VARA CÍVEL DA COMARCA DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55","6.279,17",,"5.610,61","13.929,71",,"54.767,04","4.808,44","6.654,36","764,31",,"12.227,11","42.539,93",,
THEODURETO DE ALMEIDA CAMARGO NETO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","606,26",,"5.191,73","17.127,04",,"53.396,14","3.418,51","6.580,41","190,24",,"10.189,16","43.206,98",,
GALDINO TOLEDO JUNIOR,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.017,59","29,00",,"10.685,01","49.562,56",,
EMILIO MIGLIANO NETO,7ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular II,"28.947,55","3.857,17",,"5.191,73","13.136,13",,"51.132,58","3.250,91","4.927,61","6.902,27",,"15.080,79","36.051,79",,
EDSON FERREIRA DA SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","7.069,73",,,"12.725,64","49.539,42",,
JORGE PANSERINI,1ª VARA DA COMARCA DE PORTOFELIZ,Juiz de Direito de Entrância Inicial,"26.125,92","4.201,84",,"5.191,73","13.446,85",,"48.966,34","4.201,84","5.746,46",,,"9.948,30","39.018,04",,
PAULO ALCIDES AMARAL SALLES,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.121,87","74,00",,"10.834,29","49.413,28",,
SERGIO ANTONIO RIBAS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","7.433,62",,"814,00","17.913,71",,"56.632,44","5.531,55","6.151,76","8.201,71",,"19.885,02","36.747,42",,
PAULO SERGIO BRANT DE CARVALHO GALIZIA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","606,26",,"5.191,73","17.127,04",,"53.396,14","3.418,51","4.702,18","7.205,16",,"15.325,85","38.070,29",,
ERNANI DESCO FILHO,2ª VARA CÍVEL DA COMARCA DE MARÍLIA,Juiz de Direito de Entrância Final,"28.947,55","8.035,91",,"5.191,73","14.056,05","15.209,14","71.440,38","6.565,18","6.471,23","7.252,45",,"20.288,86","51.151,52",,
IRINEU JORGE FAVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.897,56",,,"10.458,60","48.581,06",,
RENATO DELBIANCO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.614,15",,"5.191,73","14.816,54",,"57.093,53","5.143,42","7.431,88",,,"12.575,30","44.518,23",,
RICARDO PESSOA DE MELLO BELLI,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","1.902,07",,"5.191,73","17.913,71",,"55.478,62","3.561,04","6.897,56",,,"10.458,60","45.020,02",,
SERGIO ELORZA BARBOSA DE MORAES,5ª VARA CÍVEL DA COMARCA DE PRESIDENTE PRUDENTE,Juiz de Direito de Entrância Final,"28.947,55","6.321,21",,"5.191,73","13.677,02",,"54.137,51","4.850,48","6.630,82","3.080,44",,"14.561,74","39.575,77",,
JEFERSON MOREIRA DE CARVALHO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.244,05",,"5.445,83","20.840,80",,"63.001,79","3.638,54","7.017,59",,,"10.656,13","52.345,66",,
JAMES ALBERTO SIANO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"814,00","20.840,80",,"60.387,33","5.655,91","8.241,84","6.634,61",,"20.532,36","39.854,97",,
FERNANDO GERALDO SIMAO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.926,03",,"5.191,73","17.651,82",,"60.240,69","5.455,30","8.022,38","6.655,53",,"20.133,21","40.107,48",,
RUY ALBERTO LEME CAVALHEIRO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","8.261,42",,"5.191,73","18.340,80",,"62.265,06","5.655,91","5.107,82","7.134,88",,"17.898,61","44.366,45",,
JOAO BATISTA SILVERIO SILVA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.081,00",,"5.191,73","15.678,19",,"57.422,03","3.622,28","7.033,80","190,24",,"10.846,32","46.575,71",,
FRANCISCO EDUARDO LOUREIRO,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.949,70",,,"10.510,74","48.528,92",,
DACIO TADEU VIVIANI NICOLAU,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"6.020,73","24.028,61",,"65.983,56","3.561,04","7.866,20",,,"11.427,24","54.556,32",,
HELOISA MARTINS MIMESSI,TRIBUNAL DE JUSTIÇA,Juiz de Direito Substituto em 2º Grau,"28.947,55","5.566,42",,"5.191,73","14.914,90","15.538,68","70.159,28","4.960,16","6.678,64","29,00",,"11.667,80","58.491,48",,
ELOI ESTEVAO TROLY,4ª VARA CÍVEL DA COMARCA DE AMERICANA,Juiz de Direito de Entrância Final,"28.947,55","5.316,05",,"5.470,73","13.262,48",,"52.996,81","4.709,79","6.259,66",,,"10.969,45","42.027,36",,
EDUARDO SA PINTO SANDEVILLE,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","1.902,07",,"5.826,57","19.712,21",,"57.911,96","3.561,04","7.053,97","37,00",,"10.652,01","47.259,95",,
PEDRO AMARAL DOS SANTOS,FORUM DA COMARCA DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito de Entrância Inicial,"20.900,64",,,,"9.240,98",,"30.141,62","2.299,07","4.089,66","3.991,43",,"10.380,16","19.761,46",,
MAURICIO CAMPOS DA SILVA VELHO,5ª VARA CÍVEL FORO REGIONAL I  SANTANA,Juiz de Direito Titular I,"28.947,55","6.418,50",,"5.191,73","19.631,13",,"60.188,91","4.947,77","5.406,29","5.667,41",,"16.021,47","44.167,44",,
WALTER CESAR INCONTRI EXNER,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","6.243,93",,"5.191,73","18.340,80",,"60.247,57","3.638,42","7.226,14",,,"10.864,56","49.383,01",,
MARIA DE LOURDES RACHID VAZ DE ALMEIDA,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"814,00","17.913,71",,"54.661,93","3.561,04","7.053,97","7.303,83",,"17.918,84","36.743,09",,
ALVARO AUGUSTO DOS PASSOS,TRIBUNAL DE JUSTIÇA,Desembargador,"30.471,11","5.463,11",,"5.191,73","17.913,71",,"59.039,66","3.561,04","6.949,70","2.408,66",,"12.919,40","46.120,26",,"790,29"
